h5_index,design_id,human_rating_modernity,ai_rating_modernity
0,0,,3.39934582170099
2,2,,3.4828665326349437
6,6,,3.559722130652517
7,7,,3.3472422217018902
8,8,,3.456920951139182
9,9,,3.6349412056151778
10,10,,3.1909511727280915
14,14,,3.5609449865296483
15,15,,3.4733078717254102
17,17,3.333333333333333,3.431009380146861
18,18,,3.0094809872098267
19,19,3.4285714285714284,3.259068312123418
20,20,,3.28881478542462
21,21,,3.7890732319210656
22,22,,3.3244385989382863
23,23,,3.1087910067290068
26,26,,3.0881181149743497
28,28,,3.4387564063072205
31,31,,3.5895766401663423
33,33,2.75,3.2988720047287643
35,35,,3.2075823699124157
37,37,,3.3562282882630825
38,38,,3.585718763060868
40,40,3.230769230769231,3.431213343515992
41,41,2.625,3.386786425486207
42,42,2.6666666666666665,3.719739152584225
44,44,,3.2749811057001352
45,45,,3.1268411008641124
46,46,3.142857142857143,3.276436041109264
49,49,,3.272170278709382
50,50,,3.7777298442088068
53,53,,3.464152919128537
56,56,3.333333333333333,3.5325702484697104
62,62,2.0,3.385418377816677
63,63,,2.976637540385127
64,64,,3.6790730408392847
65,65,3.75,3.5348819037899375
67,67,,3.4646337712183595
68,68,,3.603337350767106
72,72,,3.22842232696712
74,74,,3.3700362043455243
75,75,3.5,3.815206865547225
76,76,3.636363636363636,3.3707221262156963
77,77,3.0,3.6519164126366377
79,79,2.7,3.2117391587235034
80,80,,3.3042144430801272
81,81,,3.4594123559072614
82,82,3.75,3.5382940811105072
83,83,,3.295241671614349
84,84,,3.1902512428350747
85,85,,3.3229304188862443
86,86,,3.283110113348812
88,88,,3.163114909315482
89,89,3.2,3.4699509292840958
91,91,,3.1574953694362193
94,94,,3.247925049159676
95,95,,3.5044276136904955
96,96,3.5,3.4896641238592565
97,97,3.5,3.299268496222794
99,99,,3.299898815341294
101,101,,3.1384359393268824
102,102,4.105263157894737,3.6527563859708607
106,106,,3.3261977140791714
107,107,,3.501946134492755
114,114,,3.2589837964624166
116,116,,3.3215949311852455
117,117,,4.003975372994319
118,118,2.625,3.5457071042619646
121,121,,3.2687054965645075
123,123,,3.246582042425871
124,124,3.5,3.744363051140681
125,125,,3.3929507709108293
126,126,3.8,4.012553135049529
127,127,3.5,3.5205525485798717
128,128,,3.604683537501842
129,129,,3.6434262138791382
130,130,,3.7304750268813223
131,131,,3.554877382237464
133,133,,3.5170129369944334
136,136,,3.525013441918418
138,138,2.125,3.3897782061249018
140,140,,3.4253097707405686
141,141,3.3,3.4965555877424777
142,142,,3.152117236983031
143,143,2.888888888888889,3.2574796471744776
144,144,,3.216493083164096
146,146,3.8,3.330072684213519
147,147,2.0,3.139016571920365
149,149,3.555555555555556,3.2572271013632417
151,151,,3.483157070353627
152,152,,3.6380412890575826
153,153,3.6666666666666665,3.250307193491608
154,154,,3.203807270154357
156,156,,3.36772478884086
157,157,3.1333333333333333,3.443609592039138
159,159,2.6666666666666665,3.2479051598347723
161,161,,3.3268758663907647
162,162,,3.548756771488115
165,165,2.0,3.451851340942085
166,166,2.727272727272727,3.4902304080314934
167,167,,3.7348471293225884
170,170,,3.2319996915757656
172,172,,3.4768134588375688
173,173,,3.49292553961277
174,174,,3.517797306412831
176,176,,3.5403289748355746
177,177,,3.6298168301582336
180,180,,3.4896175232715905
181,181,,3.4647738402709365
182,182,,3.846457161824219
183,183,3.25,3.406835918314755
184,184,3.2142857142857144,3.210036898497492
187,187,,3.3345648422837257
188,188,,3.442550603300333
189,189,,3.4368917401880026
191,191,4.0,3.5253399880602956
192,192,,3.874828247819096
193,193,1.75,3.373763334006071
195,195,,3.425632235594094
197,197,3.2222222222222223,3.4231862584128976
200,200,,3.5301185762509704
201,201,2.333333333333333,3.490994017571211
205,205,,3.760982583509758
206,206,3.5,3.3554268404841423
207,207,,3.272903655190021
209,209,,3.23962096311152
212,212,,3.4075141362845898
213,213,,3.486915949266404
214,214,3.727272727272727,3.5245524495840073
217,217,2.909090909090909,3.390725295059383
219,219,3.1666666666666665,3.164318830706179
220,220,3.2857142857142856,3.144534992054105
221,221,,3.2800382003188133
224,224,2.0,3.3440047493204474
225,225,,3.506979522295296
226,226,,3.5682034958153963
229,229,,3.3045896058902144
230,230,,3.5077221784740686
231,231,3.3,3.6033635698258877
232,232,3.2,3.5318733393214643
233,233,,3.337216589599848
235,235,,3.2768181674182415
236,236,,3.240742079913616
237,237,3.4285714285714284,3.7886887637432665
240,240,,3.4055810514837503
242,242,,3.3477766662836075
243,243,,3.5991881580557674
244,244,2.923076923076923,3.3733796989545226
245,245,2.0,3.3201872874051332
248,248,3.111111111111111,3.64455125015229
253,253,,3.47761521441862
255,255,3.0,3.423319887369871
257,257,2.2,3.4648214746266603
259,259,,3.4403063715435565
261,261,,3.4480482023209333
262,262,,3.3628980219364166
265,265,,3.2858211169950664
266,266,,3.596387962810695
267,267,,3.756159151205793
268,268,,3.4442880051210523
269,269,,3.6702039756346494
272,272,,3.5371713880449533
274,274,,3.3791328934021294
278,278,,3.6024889955297112
280,280,,3.5731851388700306
283,283,,3.707590969046578
284,284,4.0,3.1206840390805155
285,285,,3.436560107395053
291,291,,3.4974429234862328
292,292,3.1666666666666665,3.374404240399599
293,293,,3.4425828559324145
295,295,,3.058582030236721
